YYWW,DOGA,MAX(PAY),MIN(PAY),A1,A2,B1,B2,C1,C2,D1,D2,TEMP1,TEMP2,TEMP3,TEMP4,TEMP5,TEMP6
201732,5216.2,5366,5058,-400742,-411110,-627326,-639950,-68583,-132155,-1321531,-1340995,70.5,30.2,27.8,23.2,34.4,11.2
201733,5122,5221,4993,-461465,-470705,-728550,-731670,-57602,-120730,-1334218,-1352170,76.1,24.7,24.8,20.5,30.6,10.1
201734,5260.8,5371,5063,-485502,-496350,-742360,-751720,-52787,-121115,-1400878,-1419070,76.7,26.8,25.6,19,31.5,12.5
201735,5313.8,5378,5201,-439586,-450770,-728623,-733735,-64799,-133285,-1363635,-1379835,59.9,21.8,21.8,16.1,29.7,13.6
201736,5468.8,5589,5411,-572827,-583555,-754090,-766090,-68713,-137435,-1510892,-1527020,66.6,23,23,17.8,30.1,12.3
201737,5211.7,5415,4922,-398296,-411160,-802780,-810220,-69887,-142365,-1428495,-1443735,58.9,22.1,22.1,14.8,29.5,14.7
201738,4887.3,5255,4468,-476495,-487415,-831514,-844090,-59682,-130895,-1459746,-1478610,61,21.4,21.4,14.1,29.2,15.1
201739,4284.9,4883,3824,-694892,-711260,-1172414,-1182110,-85027,-182405,-1869710,-1894430,58.5,21.4,21.5,11.2,31.4,20.2
201740,4548.5,4919,4178,-250150,-254230,-547090,-553090,-34392,-59300,-814090,-817930,61.4,19,19.1,10.7,29.4,18.7
201741,4114.4,4359,3839,-449031,-458175,-1008240,-1013040,-57598,-124510,-1482250,-1494730,64.9,17.4,17.3,6.1,28.7,22.6
201742,3895.6,3974,3734,-497131,-508195,-976893,-980565,-85288,-147205,-1338570,-1352250,51.9,16.6,16.7,9,25.2,16.2
201743,3822.6,3851,3795,-429502,-437470,-976920,-981000,-26768,-80740,-1385070,-1398990,53.5,15.3,15.3,8.6,24.8,16.2
201744,3966.4,4023,3916,-487377,-497625,-954833,-958505,-51888,-122890,-1402126,-1416430,56.1,11.5,11.4,2.5,18.1,15.6
201745,4200.2,4295,4135,-425432,-436280,-940670,-944990,-48310,-108505,-1271065,-1279825,53.1,10.3,10.3,2.6,18.4,15.8
201746,4290.2,4322,4239,-511301,-522845,-931450,-939610,-73268,-135580,-1277570,-1292450,44.7,3.9,3.8,-4.8,11.8,16.6
201747,4416.2,4451,4387,-547262,-557390,-842480,-846800,-31030,-89100,-1288741,-1298845,55.1,0.9,1,-6.6,10.8,17.4
