YYWW,DOGA,MAX(PAY),MIN(PAY),YYYY,A1,A2,B1,B2,C1,C2,D1,D2,YYWW_1,TEMP1,TEMP2,TEMP3,TEMP4,TEMP5,TEMP6
2019-30,3900.2,4097,3723,2019-30,-319580,-326300,-617020,-617020,-49893,-88865,-878235,-881955,2019-30,82.8,28.2,26.9,23.7,33.4,9.7
2019-34,4317.4,4408,4241,2019-34,-314187,-318675,-701850,-701850,-107540,-152825,-1091258,-1095530,2019-34,62.7,26.8,26.3,20.2,32.8,12.6
2019-44,2926.8,3231,2809,2019-44,-358817,-361625,-964680,-979080,-104097,-151260,-1089396,-1095300,2019-44,61,13.7,13.6,5,22.1,17.1
2019-52,2821.3,2919,2747,2019-52,-399717,-403965,-980010,-980010,-113108,-158040,-1286915,-1298315,2019-52,57.7,1.6,1.5,-5.7,6.8,12.5
Feb-20,3305.2,3454,3210,Feb-20,-420305,-426185,-968160,-968160,-71823,-117765,-1196372,-1200020,Feb-20,62.4,-0.7,-0.8,-5.7,8.9,14.6
2020-17,4627.4,4827,4508,2020-17,-430655,-433175,-785990,-785990,-114018,-165015,-1329490,-1331890,2020-17,49.2,10.8,10.9,2.9,19.9,17
2020-25,4627.6,4755,4516,2020-25,-395935,-401575,-734990,-734990,-79862,-129800,-1372685,-1373525,2020-25,58.5,25.7,25.6,19.5,35.4,15.9
2020-31,4403.6,4580,4138,2020-31,-356731,-362275,-697500,-697500,-79765,-128150,-1276770,-1281570,2020-31,90.8,25.8,25.3,22.6,29.6,7
2020-38,4851.5,4988,4620,2020-38,-385250,-386690,-656630,-661430,-82413,-127970,-1095695,-1098455,2020-38,63.4,20.8,20.8,13.6,26.2,12.6
2020-41,4109,4404,3820,2020-41,-385987,-389995,-643703,-648335,-100672,-148985,-1192617,-1193745,2020-41,57.9,16.3,16.3,8.6,23.3,14.7
2020-43,3913.8,4025,3783,2020-43,-322830,-327150,-635935,-641095,-112294,-156645,-1142862,-1144590,2020-43,63.3,11.9,11.9,3.2,19.4,16.2
2020-48,4455.2,4565,4356,2020-48,-352060,-357100,-603100,-603100,-92378,-134805,-1360787,-1363115,2020-48,58.1,2.1,2.1,-3.6,10.9,14.5
2020-49,4670.2,4804,4543,2020-49,-366485,-370685,-558640,-559360,-67530,-115675,-1306706,-1307810,2020-49,54.1,1.8,1.7,-4.6,9.1,13.7
Jan-21,3735.3,3775,3654,Jan-21,-348995,-353675,-652860,-653820,-57151,-96725,-1409711,-1414295,Jan-21,51,-6.4,-6.5,-16.5,1.6,18.1
Jul-21,3247,3299,3223,Jul-21,-338075,-341555,-1092630,-1092630,-75557,-104110,-1665872,-1667120,Jul-21,53.4,0.9,0.8,-10.6,15.9,26.5
Sep-21,3810.8,3874,3741,Sep-21,-300655,-305095,-565080,-565080,-99053,-138780,-1174667,-1177955,Sep-21,60.6,6.2,6.3,-1.2,16.2,17.4
Nov-21,4020.8,4116,3898,Nov-21,-376155,-379155,-550170,-550170,-82166,-123660,-1143847,-1145695,Nov-21,58,9.7,9.8,1.8,18.4,16.6
2021-14,4456,4508,4323,2021-14,-350950,-354790,-515660,-515660,-99523,-146850,-1094167,-1096255,2021-14,52.2,13.9,13.9,5.4,23,17.6
2021-18,4928.2,5008,4744,2021-18,-390090,-392730,-508400,-508400,-83302,-120265,-1245837,-1247925,2021-18,69.3,13,13.1,7.3,23.1,15.8
2021-21,4949.6,4978,4929,2021-21,-337320,-341400,-462730,-462730,-103451,-141090,-1059193,-1060225,2021-21,70.5,17.6,17.5,11.5,25.1,13.6
Apr-17,4067,4525,3732,Apr-17,-384482,-397250,-1297930,-1301770,-55003,-111970,-1131188,-1145300,Apr-17,50.5,-5,-5,-12.6,4.3,16.9
2017-21,5129.2,5224,5023,2017-21,-493427,-505355,-792218,-801530,-63044,-117745,-1512743,-1531775,2017-21,51.9,20.2,20.2,12.4,28,15.6
2017-22,5185.2,5298,5091,2017-22,-455495,-471695,-782352,-787440,-50373,-114020,-1338472,-1349080,2017-22,48.1,22.1,22.2,14.4,30.3,15.9
2017-30,4976.6,5144,4832,2017-30,-397768,-407320,-590830,-596830,-58438,-119695,-1222110,-1239150,2017-30,74,29,27.3,24.2,35.4,11.2
2017-31,5129.4,5261,4938,2017-31,-488369,-496985,-615090,-620850,-56374,-118390,-1303485,-1312245,2017-31,68.2,32.3,29.2,24.1,35.3,11.2
2017-41,4114.4,4359,3839,2017-41,-449031,-458175,-1008240,-1013040,-57598,-124510,-1482250,-1494730,2017-41,64.9,17.4,17.3,6.1,28.7,22.6
2017-42,3895.6,3974,3734,2017-42,-497131,-508195,-976893,-980565,-85288,-147205,-1338570,-1352250,2017-42,51.9,16.6,16.7,9,25.2,16.2
2017-46,4290.2,4322,4239,2017-46,-511301,-522845,-931450,-939610,-73268,-135580,-1277570,-1292450,2017-46,44.7,3.9,3.8,-4.8,11.8,16.6
2017-49,4590,4657,4497,2017-49,-456622,-467230,-908850,-909330,-41009,-98205,-1250488,-1261480,2017-49,56.6,-0.5,-0.6,-8.2,8.1,16.3
